domain,ns_record
aitnews.com,"lars.ns.cloudflare.com.,aria.ns.cloudflare.com."
addalinews.com,"val.ns.cloudflare.com.,clint.ns.cloudflare.com."
albawabhnews.com,"ian.ns.cloudflare.com.,emma.ns.cloudflare.com."
almalnews.com,"etta.ns.cloudflare.com.,ernest.ns.cloudflare.com."
almashhadnews.com,"cass.ns.cloudflare.com.,edward.ns.cloudflare.com."
alwakeelnews.com,"cory.ns.cloudflare.com.,molly.ns.cloudflare.com."
elyaomnews.com,"damian.ns.cloudflare.com.,sonia.ns.cloudflare.com."
garaanews.com,"hugh.ns.cloudflare.com.,beth.ns.cloudflare.com."
larachenews.com,"casey.ns.cloudflare.com.,shaz.ns.cloudflare.com."
fananews.com,"jonah.ns.cloudflare.com.,april.ns.cloudflare.com."
medi1news.com,"zara.ns.cloudflare.com.,max.ns.cloudflare.com."
nashwannews.com,"aida.ns.cloudflare.com.,logan.ns.cloudflare.com."
qbsnews.com,"bryce.ns.cloudflare.com.,martha.ns.cloudflare.com."
shorouknews.com,"beth.ns.cloudflare.com.,dale.ns.cloudflare.com."
syriadailynews.com,"ed.ns.cloudflare.com.,jean.ns.cloudflare.com."
tanjanews.com,"toby.ns.cloudflare.com.,dora.ns.cloudflare.com."
walnews.com,"cora.ns.cloudflare.com.,owen.ns.cloudflare.com."
almethaqnews.com,"tara.ns.cloudflare.com.,doug.ns.cloudflare.com."
malayalamnewsdaily.com,"dawn.ns.cloudflare.com.,andy.ns.cloudflare.com."
pknewspaper.com,"yevgen.ns.cloudflare.com.,irma.ns.cloudflare.com."
shorouknews.com,"beth.ns.cloudflare.com.,dale.ns.cloudflare.com."
w3newspapers.com,"cass.ns.cloudflare.com.,amir.ns.cloudflare.com."
nabaanews.com,"becky.ns.cloudflare.com.,hugh.ns.cloudflare.com."
inewsgr.com,"pam.ns.cloudflare.com.,josh.ns.cloudflare.com."
15minutenews.com,"chan.ns.cloudflare.com.,kaiser.ns.cloudflare.com."
4bitnews.com,"camilo.ns.cloudflare.com.,aspen.ns.cloudflare.com."
amboynews.com,"clint.ns.cloudflare.com.,rachel.ns.cloudflare.com."
asamnews.com,"millie.ns.cloudflare.com.,weston.ns.cloudflare.com."
asianewstoday.com,"candy.ns.cloudflare.com.,elmo.ns.cloudflare.com."
bdnews24.com,"eve.ns.cloudflare.com.,derek.ns.cloudflare.com."
beforeitsnews.com,"hans.ns.cloudflare.com.,eva.ns.cloudflare.com."
banglanews24.com,"vick.ns.cloudflare.com.,april.ns.cloudflare.com."
bcn-news.com,"reza.ns.cloudflare.com.,guss.ns.cloudflare.com."
bnonews.com,"ram.ns.cloudflare.com.,jacqueline.ns.cloudflare.com."
channeldailynews.com,"serena.ns.cloudflare.com.,jasper.ns.cloudflare.com."
charismanews.com,"kurt.ns.cloudflare.com.,yolanda.ns.cloudflare.com."
cbsnews.com,"dns1.p09.nsone.net.,dns2.p09.nsone.net.,dns3.p09.nsone.net.,dns4.p09.nsone.net.,ns0004.secondary.cloudflare.com.,ns0243.secondary.cloudflare.com."
currentschoolnews.com,"ara.ns.cloudflare.com.,coby.ns.cloudflare.com."
dailynewsegypt.com,"zelda.ns.cloudflare.com.,noah.ns.cloudflare.com."
eturbonews.com,"dell.ns.cloudflare.com.,chuck.ns.cloudflare.com."
ifpnews.com,"dee.ns.cloudflare.com.,oswald.ns.cloudflare.com."
holanews.com,"pat.ns.cloudflare.com.,bob.ns.cloudflare.com."
heartlandnewsfeed.com,"lisa.ns.cloudflare.com.,lochlan.ns.cloudflare.com."
indiarightnownews.com,"rodney.ns.cloudflare.com.,nia.ns.cloudflare.com."
israelnationalnews.com,"emerie.ns.cloudflare.com.,johnathan.ns.cloudflare.com."
jewishnews.com,"evan.ns.cloudflare.com.,nelly.ns.cloudflare.com."
lifesitenews.com,"carl.ns.cloudflare.com.,adrian.ns.cloudflare.com."
moroccoworldnews.com,"davina.ns.cloudflare.com.,henry.ns.cloudflare.com."
miragenews.com,"clint.ns.cloudflare.com.,uma.ns.cloudflare.com."
nationalnewswatch.com,"greg.ns.cloudflare.com.,lana.ns.cloudflare.com."
naturalnews.com,"mario.ns.cloudflare.com.,mona.ns.cloudflare.com."
news24.com,"hope.ns.cloudflare.com.,jobs.ns.cloudflare.com."
newsbugz.com,"adrian.ns.cloudflare.com.,tim.ns.cloudflare.com."
newskarnataka.com,"gabe.ns.cloudflare.com.,celine.ns.cloudflare.com."
newslocker.com,"karina.ns.cloudflare.com.,micah.ns.cloudflare.com."
newsthump.com,"eric.ns.cloudflare.com.,jill.ns.cloudflare.com."
newstalk.com,"kanye.ns.cloudflare.com.,fay.ns.cloudflare.com."
newstodaynet.com,"alexis.ns.cloudflare.com.,carol.ns.cloudflare.com."
nophonews.com,"june.ns.cloudflare.com.,kirk.ns.cloudflare.com."
newsx.com,"kip.ns.cloudflare.com.,mina.ns.cloudflare.com."
osnews.com,"jill.ns.cloudflare.com.,norm.ns.cloudflare.com."
phhsnews.com,"tricia.ns.cloudflare.com.,chris.ns.cloudflare.com."
prescottenews.com,"dave.ns.cloudflare.com.,serenity.ns.cloudflare.com."
piquenewsmagazine.com,"pearl.ns.cloudflare.com.,braden.ns.cloudflare.com."
rochellenews-leader.com,"clint.ns.cloudflare.com.,rachel.ns.cloudflare.com."
richmond-news.com,"pearl.ns.cloudflare.com.,braden.ns.cloudflare.com."
sachsenews.com,"aragorn.ns.cloudflare.com.,reza.ns.cloudflare.com."
sindonews.com,"fiona.ns.cloudflare.com.,drew.ns.cloudflare.com."
southernminnesotanews.com,"darwin.ns.cloudflare.com.,linda.ns.cloudflare.com."
sunnewsonline.com,"pablo.ns.cloudflare.com.,haley.ns.cloudflare.com."
theisleofthanetnews.com,"zahir.ns.cloudflare.com.,nadia.ns.cloudflare.com."
villages-news.com,"giancarlo.ns.cloudflare.com.,sara.ns.cloudflare.com."
webpronews.com,"megan.ns.cloudflare.com.,luke.ns.cloudflare.com."
wylienews.com,"aragorn.ns.cloudflare.com.,reza.ns.cloudflare.com."
bvinews.com,"nadia.ns.cloudflare.com.,lou.ns.cloudflare.com."
almanacnews.com,"tiffany.ns.cloudflare.com.,garret.ns.cloudflare.com."
austincountynewsonline.com,"rudy.ns.cloudflare.com.,dorthy.ns.cloudflare.com."
austinweeklynews.com,"zoe.ns.cloudflare.com.,ed.ns.cloudflare.com."
capitalhillnews.com,"shane.ns.cloudflare.com.,ulla.ns.cloudflare.com."
christiannewsalerts.com,"neil.ns.cloudflare.com.,olga.ns.cloudflare.com."
consortiumnews.com,"raquel.ns.cloudflare.com.,sam.ns.cloudflare.com."
conservativeundergroundnews.com,"toby.ns.cloudflare.com.,pola.ns.cloudflare.com."
countyenews.com,"walt.ns.cloudflare.com.,brenna.ns.cloudflare.com."
cocknews.com,"jasper.ns.cloudflare.com.,chin.ns.cloudflare.com."
currentnewspapers.com,"dara.ns.cloudflare.com.,pete.ns.cloudflare.com."
dailyarchnews.com,"otto.ns.cloudflare.com.,perla.ns.cloudflare.com."
eaglenewsonline.com,"skip.ns.cloudflare.com.,amanda.ns.cloudflare.com."
fetchyournews.com,"sam.ns.cloudflare.com.,ines.ns.cloudflare.com."
informingnews.com,"roxy.ns.cloudflare.com.,pete.ns.cloudflare.com."
iorbitnews.com,"will.ns.cloudflare.com.,anna.ns.cloudflare.com."
inkfreenews.com,"neil.ns.cloudflare.com.,wanda.ns.cloudflare.com."
lafayettestudentnews.com,"owen.ns.cloudflare.com.,sima.ns.cloudflare.com."
luminanews.com,"becky.ns.cloudflare.com.,frank.ns.cloudflare.com."
machiasnews.com,"garret.ns.cloudflare.com.,deborah.ns.cloudflare.com."
messenger-news.com,"yolanda.ns.cloudflare.com.,lennon.ns.cloudflare.com."
missoulanews.com,"ines.ns.cloudflare.com.,ray.ns.cloudflare.com."
news-bulletin.com,"todd.ns.cloudflare.com.,olga.ns.cloudflare.com."
news-reporter.com,"felipe.ns.cloudflare.com.,aleena.ns.cloudflare.com."
newselfnewlife.com,"alina.ns.cloudflare.com.,norman.ns.cloudflare.com."
newsfinale.com,"heidi.ns.cloudflare.com.,jakub.ns.cloudflare.com."
newssloth.com,"janet.ns.cloudflare.com.,frank.ns.cloudflare.com."
patriotmoneynews.com,"david.ns.cloudflare.com.,pam.ns.cloudflare.com."
patriotnewsnetwork.com,"stella.ns.cloudflare.com.,cameron.ns.cloudflare.com."
postxnews.com,"katja.ns.cloudflare.com.,garret.ns.cloudflare.com."
prnewswire.com,"ara.ns.cloudflare.com.,bart.ns.cloudflare.com."
rivernewsonline.com,"nola.ns.cloudflare.com.,jermaine.ns.cloudflare.com."
sewardcitynews.com,"zelda.ns.cloudflare.com.,david.ns.cloudflare.com."
sfnewsdaily.com,"pearl.ns.cloudflare.com.,corey.ns.cloudflare.com."
spectatornews.com,"owen.ns.cloudflare.com.,sima.ns.cloudflare.com."
themaconcountynews.com,"dora.ns.cloudflare.com.,pete.ns.cloudflare.com."
thenews-gazette.com,"eva.ns.cloudflare.com.,west.ns.cloudflare.com."
thenorthfieldnews.com,"mia.ns.cloudflare.com.,seamus.ns.cloudflare.com."
thenewsfront.com,"kay.ns.cloudflare.com.,walt.ns.cloudflare.com."
theoakleafnews.com,"owen.ns.cloudflare.com.,sima.ns.cloudflare.com."
thestarnewsnetwork.com,"maciej.ns.cloudflare.com.,fatima.ns.cloudflare.com."
thetigernews.com,"tess.ns.cloudflare.com.,ian.ns.cloudflare.com."
tolosapressnews.com,"rihana.ns.cloudflare.com.,ned.ns.cloudflare.com."
usnewsbreak.com,"jean.ns.cloudflare.com.,igor.ns.cloudflare.com."
trend-news.com,"jay.ns.cloudflare.com.,eva.ns.cloudflare.com."
vinnews.com,"amir.ns.cloudflare.com.,venus.ns.cloudflare.com."
villages-news.com,"sara.ns.cloudflare.com.,giancarlo.ns.cloudflare.com."
wylienews.com,"aragorn.ns.cloudflare.com.,reza.ns.cloudflare.com."
bigbangnews.com,"chuck.ns.cloudflare.com.,suzanne.ns.cloudflare.com."
infonews.com,"dana.ns.cloudflare.com.,clyde.ns.cloudflare.com."
noticiasacapulconews.com,"karsyn.ns.cloudflare.com.,javon.ns.cloudflare.com."
newsweekespanol.com,"jade.ns.cloudflare.com.,glen.ns.cloudflare.com."
vacamuertanews.com,"cruz.ns.cloudflare.com.,abdullah.ns.cloudflare.com."
alyaexpress-news.com,"violet.ns.cloudflare.com.,gordon.ns.cloudflare.com."
libnanews.com,"oswald.ns.cloudflare.com.,elinore.ns.cloudflare.com."
lesnewsdunet.com,"kianchau.ns.cloudflare.com.,kara.ns.cloudflare.com."
artistanews.com,"neil.ns.cloudflare.com.,cortney.ns.cloudflare.com."
newsit24.com,"ingrid.ns.cloudflare.com.,burt.ns.cloudflare.com."
teramonews.com,"dolly.ns.cloudflare.com.,johnathan.ns.cloudflare.com."
ungherianews.com,"sasha.ns.cloudflare.com.,wells.ns.cloudflare.com."
dailynewsagency.com,"leah.ns.cloudflare.com.,achiel.ns.cloudflare.com."
newsmatomedia.com,"nelly.ns.cloudflare.com.,chuck.ns.cloudflare.com."
inews24.com,"jean.ns.cloudflare.com.,lars.ns.cloudflare.com."
newsis.com,"val.ns.cloudflare.com.,gerald.ns.cloudflare.com."
newspeppermint.com,"sid.ns.cloudflare.com.,lana.ns.cloudflare.com."
newshankuk.com,"betty.ns.cloudflare.com.,etienne.ns.cloudflare.com."